AREA,Area,MAINTRAVELWORK,Main means of travel to work,AGE,Age group,SEX,Sex,YEAR,Year,Value,Flags
198800,Kawaha,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,207,
198900,Fairy Springs,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,246,
199000,Western Heights (Rotorua District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,243,
199100,Pukehangi North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,150,
199200,Pukehangi South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,240,
199300,Mangakakahi Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,3600,
199400,Koutu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,180,
199500,Mangakakahi West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,156,
199600,Sunnybrook,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,171,
199700,Fordlands,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,156,
199800,Kuirau,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,849,
199900,Utuhina,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,303,
200000,Pomare,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,210,
200100,Rotorua Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,6876,
200200,Hillcrest (Rotorua District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,396,
200300,Victoria,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,423,
200400,Waiohewa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,192,
200500,Glenholme North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,321,
200600,Springfield South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,234,
200700,Springfield North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,333,
200800,Glenholme South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,288,
200900,Owhata West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,525,
201000,Holdens Bay-Rotokawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,510,
201100,Ngapuna,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1806,
201200,Fenton Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,480,
201300,Tihiotonga-Whakarewarewa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1098,
201400,Owhata East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,414,
201500,Lynmore,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,564,
201600,Ngakuru,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,663,
201700,Kaingaroa-Whakarewarewa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,885,
201800,Golden Springs,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,939,
201900,Manawahe,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,225,
202000,Matata-Otakiri,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,390,
202100,Onepu Spring,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,300,
202200,Edgecumbe,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,573,
202300,Thornton-Awakeri,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,885,
202400,Te Teko Lakes,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,216,
202500,Coastlands,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,891,
202600,Whakatane West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,297,
202700,Whakatane Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,3561,
202800,Trident,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1140,
202900,Allandale,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,939,
203000,Mokorua Bush,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,150,
203100,Wainui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,309,
203200,Ohope,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,486,
203300,Inlet Ohiwa Harbour West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
203400,Galatea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,441,
203500,Waingarara-Waimana,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,438,
203600,Murupara,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,240,
203700,Monika Reserve,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,213,
203800,Kawerau Industrial,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,930,
203900,Tarawera Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,753,
204000,Inlet Ohiwa Harbour East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
204100,Waiotahi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,408,
204200,Cape Runaway,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,297,
204300,Woodlands,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,102,
204400,Opotiki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1257,
204500,Otara-Tirohanga,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,717,
204600,Oponae,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,60,
204700,East Cape,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,288,
204800,Waipaoa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,654,
204900,Ruatoria-Raukumara,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,318,
205000,Tokomaru,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,291,
205100,Hangaroa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,642,
205200,Wharekaka,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,540,
205300,Te Arai,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,492,
205400,Hexton,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1698,
205500,Lytton,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,963,
205600,Makaraka-Awapuni,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2574,
205700,Riverdale,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,315,
205800,Te Hapara North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,438,
205900,Mangapapa North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,138,
206000,Elgin,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,387,
206100,Te Hapara South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,237,
206200,Mangapapa East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,231,
206300,Mangapapa South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,156,
206400,Te Hapara East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,405,
206500,Centennial Crescent,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,246,
206600,Whataupoko East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,249,
206700,Whataupoko West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,807,
206800,Gisborne Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,4161,
206900,Kaiti North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,408,
207000,Kaiti South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,426,
207100,Outer Kaiti,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,129,
207200,Tamarau,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,222,
207300,Wainui-Okitu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,279,
207400,Maungataniwha-Raupunga,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,342,
207500,Inland water Lake Waikaremoana,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,3,
207600,Frasertown-Ruakituri,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,324,
207700,Whakaki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,144,
207800,Wairoa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1524,
207900,Mahia,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,207,
208000,Puketitiri-Tutira,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,645,
208100,Sherenden-Crownthorpe,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,405,
208200,Maraekakaho,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,531,
208300,Puketapu-Eskdale,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,930,
208400,Omahu-Pakowhai,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,774,
